N,l_grad,trial,seed,FE,IE
1600,2,1,13807,6.107e-03,1.531e-03
1600,3,1,13807,6.107e-03,1.566e-03
1600,4,1,13807,6.107e-03,1.579e-03
1600,5,1,13807,6.107e-03,1.446e-03
1600,2,2,66053,6.572e-03,5.113e-04
1600,3,2,66053,6.572e-03,5.169e-04
1600,4,2,66053,6.572e-03,5.397e-04
1600,5,2,66053,6.572e-03,9.194e-04
3200,2,1,10585,2.136e-03,2.623e-04
3200,3,1,10585,2.136e-03,2.447e-04
3200,4,1,10585,2.136e-03,3.559e-04
3200,5,1,10585,2.136e-03,2.339e-04
3200,2,2,48781,2.188e-03,3.809e-04
3200,3,2,48781,2.188e-03,2.855e-04
3200,4,2,48781,2.188e-03,2.576e-04
3200,5,2,48781,2.188e-03,5.182e-04
6400,2,1,5562,4.898e-04,1.040e-04
6400,3,1,5562,4.898e-04,2.900e-05
6400,4,1,5562,4.898e-04,3.076e-05
6400,5,1,5562,4.898e-04,2.392e-05
6400,2,2,57001,5.058e-04,1.060e-04
6400,3,2,57001,5.058e-04,4.814e-05
6400,4,2,57001,5.058e-04,2.171e-05
6400,5,2,57001,5.058e-04,2.057e-05
12800,2,1,47005,1.354e-04,3.993e-05
12800,3,1,47005,1.354e-04,1.167e-05
12800,4,1,47005,1.354e-04,5.734e-06
12800,5,1,47005,1.354e-04,3.961e-06
12800,2,2,80904,1.318e-04,3.578e-05
12800,3,2,80904,1.318e-04,1.130e-05
12800,4,2,80904,1.318e-04,7.494e-06
12800,5,2,80904,1.318e-04,8.946e-06
